id,category,phrase
90,directions,It's quite far from where we are now
91,directions,It's right next to the post office
92,directions,The store is across from the bank
93,directions,The parking lot is behind the building
94,directions,It's in front of the main entrance
95,directions,You'll see it on the right side of the street
96,time,What time is it right now?
97,time,It's still quite early in the morning
98,time,We're running a bit late
99,time,I need to leave right now
100,time,I'll talk to you later this afternoon
101,time,We should meet up soon
102,time,I saw her yesterday at the store
103,time,I have a meeting today at three
104,time,I'll call you tomorrow morning
105,time,I went there last week on Tuesday
106,time,We're planning to go next week
107,time,I'll see you this morning before work
108,time,Let's meet this afternoon around two
109,time,Are you free tonight for dinner?
110,time,I'll be ready in just a minute
111,time,The meeting starts in about an hour
112,time,I've been waiting here for half an hour
113,weather,It's really hot outside today
114,weather,It's freezing cold out there
115,weather,It's been raining all day long
116,weather,It looks like it's going to snow tonight
117,weather,The sun is shining brightly today
118,weather,It's very cloudy and overcast
119,weather,The wind is blowing quite strongly
120,weather,We're having such nice weather today
121,weather,The weather forecast says it will rain tomorrow
122,weather,I hope the weather will be good this weekend
123,food,I'm getting really hungry
124,food,I'm so thirsty right now
125,food,I'm completely full and can't eat anymore
126,food,This tastes absolutely delicious
127,food,I don't really like the taste of this
128,food,Can I please see the menu?
129,food,I'll have the chicken pasta please
130,food,Could we get the check please?
131,food,Let's make a toast to celebrate
132,food,Would you like something to drink?
133,food,I'm allergic to peanuts and shellfish
134,food,What would you recommend from the menu?
135,feelings,I'm feeling really happy today
136,feelings,I've been feeling a bit sad lately
137,feelings,I'm so tired I can barely keep my eyes open
138,feelings,I'm really excited about the trip
139,feelings,I'm getting angry about this situation
140,feelings,I'm scared of what might happen
141,feelings,I'm worried about the test tomorrow
142,feelings,I'm so bored I don't know what to do
143,feelings,I'm feeling nervous about the presentation
144,feelings,I feel sick to my stomach
145,feelings,I'm feeling much better now thank you
146,feelings,I'm feeling stressed about all this work
147,health,I have a terrible headache right now
148,health,My stomach has been hurting all day
149,health,I think I need to see a doctor
150,health,I'm allergic to penicillin
151,health,I'm not feeling very well today
152,health,I need to get some medicine from the pharmacy
153,health,I should probably go to the hospital
154,health,I've been feeling under the weather lately
155,shopping,How much does this item cost?
156,shopping,I'd like to buy this one please
157,shopping,Do you have this in a different color?
158,shopping,I'm just looking around for now
159,shopping,Can I try this on in the fitting room?
160,shopping,That's a bit too expensive for me
161,shopping,Do you accept credit cards here?
162,shopping,Can I please get a receipt for this?
163,shopping,Is this on sale right now?
164,shopping,Do you have this in a larger size?
165,work,I work at a technology company downtown
166,work,I have an important meeting this afternoon
167,work,I'm really busy with work right now
168,work,I'm free after five o'clock today
169,work,I'm currently on my lunch break
170,work,I finish work at six in the evening
171,work,I start my shift at nine in the morning
172,work,I've been working here for three years
173,work,I need to finish this project by Friday
174,travel,I think I'm completely lost
175,travel,Where is the train station from here?
176,travel,How do I get to the city center?
177,travel,I need to call a taxi to the airport
178,travel,What's the address of this place?
179,travel,I'm just visiting this city for a few days
180,travel,I'm here on vacation with my family
181,travel,I'm here for a business conference
182,travel,How far is it to the nearest hotel?
183,travel,Is there a bus that goes to the museum?
184,phone,Hello, who am I speaking with?
185,phone,May I ask who's calling please?
186,phone,Can I please speak to Sarah?
187,phone,Could you hold on for just a moment please?
188,phone,I'll call you back in a few minutes
189,phone,I'm sorry, you must have the wrong number
190,phone,Can you hear me clearly?
191,phone,The connection is breaking up
192,phone,Let me call you back on a better line
193,emergency,Help me please!
194,emergency,Someone call the police right now
195,emergency,We need an ambulance immediately
196,emergency,This is an emergency situation
197,emergency,I desperately need your help
198,emergency,Please be very careful
199,emergency,Watch out for that car!
200,emergency,Get out of the way quickly!
201,social,How's everything going with you?
202,social,What's new in your life?
203,social,Nothing much, just the usual routine
204,social,Everything is pretty much the same as always
205,social,Long time no see! How have you been?
206,social,It's been ages since we last met
207,social,Take good care of yourself
208,social,I wish you the best of luck
209,social,Congratulations on your achievement!
210,social,I'm really proud of what you've accomplished
211,understanding,I completely understand what you mean
212,understanding,I'm afraid I don't understand what you're saying
213,understanding,I see what you're getting at
214,understanding,Now I get what you mean
215,understanding,That makes perfect sense to me
216,understanding,I'm a bit confused by what you said
217,understanding,Can you please explain that again?
218,understanding,What exactly do you mean by that?
219,understanding,Could you clarify that point for me?
220,ability,I can speak three different languages
221,ability,I'm not able to swim very well
222,ability,I know how to fix computers
223,ability,I don't know how to drive a car
224,ability,I'm able to finish this by tomorrow
225,ability,I'm not able to attend the meeting
226,ability,I can't reach the top shelf
227,permission,You're allowed to park here
228,permission,You may use my computer if you need it
229,permission,You're not allowed to smoke in this building
230,permission,Is it okay if I open the window?
231,permission,Do you mind if I sit here?
232,obligation,I have to finish this work tonight
233,obligation,You must wear a seatbelt in the car
234,obligation,I need to call my mother today
235,obligation,You should probably see a doctor about that
236,obligation,We have to leave by eight o'clock
237,obligation,You really should get more sleep
238,desire,I want to travel around the world
239,desire,I would like a cup of coffee please
240,desire,I wish I could speak French fluently
241,desire,I hope everything works out well
242,desire,I prefer tea over coffee
243,desire,I'd rather stay home tonight than go out
244,desire,I really want to learn how to play guitar
245,opinion,I think this is a good idea
246,opinion,I believe we should wait a bit longer
247,opinion,In my opinion, this is the best option
248,opinion,I feel that we're making a mistake
249,opinion,It seems to me like you're right
250,opinion,As far as I know, the store is closed
251,opinion,I suppose we could try it that way
252,opinion,I honestly think you should reconsider
253,suggestion,Let's go to the movies tonight
254,suggestion,How about we meet at seven?
255,suggestion,Why don't we take a break for a while?
256,suggestion,We could try going a different way
257,suggestion,We should probably start heading back
258,suggestion,What if we asked someone for directions?
259,suggestion,Maybe we should postpone the meeting
260,invitation,Would you like to come to dinner with us?
261,invitation,Do you want to go see a movie?
262,invitation,Why don't you come with me to the party?
263,invitation,You should join us for lunch
264,invitation,We'd love to have you over for dinner
265,offer,Can I help you with anything?
266,offer,Let me help you carry those bags
267,offer,Would you like some more coffee?
268,offer,I'll take care of that for you
269,offer,Can I get you anything else?
270,advice,You should really try to get some rest
271,advice,You ought to apologize to her
272,advice,If I were you, I'd take the job
273,advice,You'd better hurry or you'll be late
274,advice,I would recommend seeing a specialist
275,advice,I suggest you think about it carefully
276,advice,You might want to consider other options
277,warning,Be very careful with that glass
278,warning,Watch out for the step there
279,warning,Look out! There's a car coming!
280,warning,You really shouldn't do that
281,warning,Don't touch that, it's very hot
282,complaint,I don't think that's fair at all
283,complaint,I'm not happy about this situation
284,complaint,This is completely wrong and unacceptable
285,complaint,I have a serious problem that needs addressing
286,complaint,I'd like to file a formal complaint
287,compliment,You look really nice today
288,compliment,That's a great outfit you're wearing
289,compliment,You did an excellent job on this
290,compliment,I really like your new haircut
291,compliment,You're very talented at what you do
292,possession,I have a car and a motorcycle
293,possession,I don't have any siblings
294,possession,This book belongs to me
295,possession,That's my jacket on the chair
296,possession,I own a small house in the suburbs
297,existence,There's a good restaurant near here
298,existence,There are many people waiting outside
299,existence,There isn't any milk left in the fridge
300,existence,There aren't any available seats
301,existence,Is there a pharmacy around here?
302,location,I'm currently here at the office
303,location,The keys are in the drawer
304,location,Your phone is on the kitchen table
305,location,The restaurant is under the bridge
306,location,The picture is hanging above the fireplace
307,location,The parking garage is below ground level
308,location,The post office is between the bank and the cafe
309,location,My house is right next to the park
310,movement,I'm going to the store in a few minutes
311,movement,I'm coming home right now
312,movement,I'm leaving for work in the morning
313,movement,I'm planning to stay here for a while
314,movement,Please come here right away
315,movement,You need to go away and leave me alone
316,movement,Let's get going or we'll be late
317,movement,Hurry up! We don't have much time!
318,movement,Could you please slow down a bit?
319,frequency,I always wake up at six in the morning
320,frequency,I usually have coffee with breakfast
321,frequency,I often go to the gym after work
322,frequency,I sometimes forget to set my alarm
323,frequency,I rarely eat fast food anymore
324,frequency,I never drink alcohol
325,frequency,I go running almost every day
326,frequency,I visit my parents once a week
327,frequency,We have meetings twice a month
328,frequency,I only check my email once a day
329,degree,This soup is very hot right now
330,degree,This bag is too heavy for me to carry
331,degree,I'm so tired I could fall asleep standing up
332,degree,The movie was quite entertaining
333,degree,That was a really good performance
334,degree,I only need a little bit of help
335,degree,Thank you so much for everything
336,degree,I love you a lot
337,comparison,This restaurant is better than the other one
338,comparison,Today's weather is worse than yesterday's
339,comparison,Your car is the same color as mine
340,comparison,This is completely different from what I expected
341,comparison,Your idea is very similar to mine
342,comparison,My house is bigger than yours
343,comparison,This phone is smaller than my old one
344,comparison,I have more money than I thought
345,comparison,There's less time than we expected
346,certainty,I'm absolutely sure about this
347,certainty,I'm completely certain that's correct
348,certainty,This will definitely work out fine
349,certainty,It will probably rain this afternoon
350,certainty,Maybe we'll see each other tomorrow
351,certainty,Perhaps we should try something else
352,certainty,I seriously doubt that will happen
353,certainty,There's no doubt in my mind
354,knowledge,I know exactly where we need to go
355,knowledge,I honestly don't know the answer
356,knowledge,I remember meeting you at the party
357,knowledge,I completely forgot about our appointment
358,knowledge,I learned how to speak Spanish in school
359,knowledge,I finally understand how this works
360,knowledge,I've never seen anything like this before
361,thinking,I think we should leave soon
362,thinking,I thought you said you were coming
363,thinking,I wonder what she's doing right now
364,thinking,I can't imagine living anywhere else
365,thinking,I suppose that could work
366,thinking,I'm assuming you've already eaten
367,thinking,I had no idea this would happen
368,liking,I really like this song a lot
369,liking,I absolutely love Italian food
370,liking,I enjoy reading books in my free time
371,liking,I don't particularly like hot weather
372,liking,I really hate getting up early
373,liking,I prefer staying home to going out
374,liking,I'm very interested in learning about history
375,liking,I'm not a big fan of horror movies
376,necessity,I really need to get some sleep
377,necessity,I don't need any help with this
378,necessity,It's absolutely necessary to arrive on time
379,necessity,It's very important that you understand this
380,necessity,It's essential that we finish by Friday
381,necessity,This meeting is not necessary
382,possibility,It's definitely possible if we try
383,possibility,That's completely impossible to do
384,possibility,Maybe it will work out somehow
385,possibility,Perhaps we could find another way
386,possibility,It might rain later this evening
387,possibility,This could be the solution we need
388,possibility,There's a chance we might be late
389,difficulty,This exercise is very easy to do
390,difficulty,That problem is really hard to solve
391,difficulty,Learning Chinese is quite difficult for me
392,difficulty,The instructions are pretty simple to follow
393,difficulty,This situation is very complicated
394,difficulty,This task is easier than I thought
395,quality,This is a really good book
396,quality,The service here is terrible
397,quality,What a beautiful sunset this evening
398,quality,That's an ugly painting in my opinion
399,quality,I just bought a brand new car
400,quality,This is a very old building
401,quality,The room is nice and clean
402,quality,Your shoes are very dirty
403,quality,The food here is excellent
404,size,That's a really big house
405,size,This is such a small apartment
406,size,We need a larger table for the dining room
407,size,That's a tiny insect on the wall
408,size,There's a huge crowd at the concert
409,size,This shirt is too big for me
410,quantity,There are a lot of people here tonight
411,quantity,I only need a little bit of sugar
412,quantity,I have a few friends coming over later
413,quantity,There are many reasons why this won't work
414,quantity,I don't have much time to talk
415,quantity,Would you like some coffee or tea?
416,quantity,I don't have any money with me
417,quantity,None of the options seem good to me
418,quantity,All of us are going to the party
419,quantity,Both of my parents are teachers
420,quantity,Each person needs to bring something
421,quantity,Every student must complete the assignment
422,quantity,I need more time to think about it
423,description,What's the weather like outside?
424,description,It looks like it's going to rain
425,description,That sounds like a great plan to me
426,description,This feels like soft velvet
427,description,It smells like something is burning
428,description,This tastes like it needs more salt
429,description,She looks just like her mother
430,past,I was at home all day yesterday
431,past,I did all my homework last night
432,past,We went to Paris last summer
433,past,I saw your brother at the mall
434,past,I had a great time at the party
435,past,She made a delicious cake for dessert
436,past,He said he would be here by now
437,past,They came to visit us last weekend
438,past,I finished reading that book yesterday
439,future,I will call you tomorrow morning
440,future,I'm going to start a new job next month
441,future,I'll be there in about twenty minutes
442,future,We'll do our best to help you
443,future,I'll have the report ready by Friday
444,future,They're going to move to a new house
445,future,I'll see you at the meeting tomorrow
446,future,She'll probably arrive around noon
447,present,I am a teacher at the local school
448,present,I do yoga every morning before work
449,present,I have two cats and a dog
450,present,I go to the gym three times a week
451,present,I see what you mean now
452,present,I make dinner for my family every night
453,present,I always say what I'm thinking
454,present,I live in an apartment downtown
455,continuous,I'm currently working on a new project
456,continuous,She's going to the store right now
457,continuous,We're working hard to meet the deadline
458,continuous,I'm eating lunch at my desk today
459,continuous,He's sleeping on the couch
460,continuous,They're watching a movie in the living room
461,continuous,I'm reading a really interesting book
462,continuous,The children are playing in the backyard
463,perfect,I've been to Japan three times
464,perfect,I've already done all my work for today
465,perfect,She's seen that movie before
466,perfect,We've had this car for five years
467,perfect,They've made a lot of progress
468,perfect,I've never gone skydiving before
469,perfect,I've just finished eating dinner
470,perfect,Have you ever been to Europe?
471,perfect,I've already told you about this
472,perfect,I haven't finished my homework yet
473,conditional,I would go if I had the time
474,conditional,I could help you if you asked me
475,conditional,I might come to the party if I'm free
476,conditional,If I were rich, I would travel the world
477,conditional,If I had known, I would have called you
478,conditional,If I could fly, I would visit every country
479,conditional,I wish I were taller than I am
480,questions_general,What is this thing on the table?
481,questions_general,Who is that person standing over there?
482,questions_general,When did the accident happen?
483,questions_general,Where did you go on your vacation?
484,questions_general,Why did you decide to do that?
485,questions_general,How did you know I would be here?
486,questions_general,Which one of these do you prefer?
487,questions_general,Whose car is parked in my spot?
488,questions_general,How long have you been waiting here?
489,family,My mother is a doctor at the hospital
490,family,My father works in construction
491,family,My sister is studying at university
492,family,My brother lives in another city
493,family,My son is five years old
494,family,My daughter just started school
495,family,My husband is an engineer
496,family,My wife is a lawyer
497,family,My parents are retired now
498,family,My children are both in college
499,family,I come from a very large family
500,family,I'm very close to my grandmother
501,relationships,She's one of my best friends
502,relationships,My boyfriend lives across town
503,relationships,My girlfriend is coming to visit tomorrow
504,relationships,My partner and I have been together for years
505,relationships,I work with really nice colleagues
506,relationships,My boss is very understanding
507,relationships,My neighbors are having a party tonight
508,relationships,I've known him since we were children
509,activities,I work from nine to five every weekday
510,activities,I'm studying engineering at the university
511,activities,I like to play basketball on weekends
512,activities,I love reading before I go to sleep
513,activities,I enjoy writing in my journal
514,activities,I watch the news every evening
515,activities,I listen to music while I work
516,activities,I cook dinner for my family most nights
517,activities,I usually eat breakfast at seven
518,activities,I drink coffee every morning
519,activities,I typically sleep for eight hours
520,activities,I wake up as soon as my alarm goes off
521,activities,I get up at six thirty every morning
522,activities,I take a shower before breakfast
523,activities,I brush my teeth after every meal
524,activities,I get dressed quickly in the morning
525,activities,I drive to work every day
526,activities,I prefer to walk when the weather is nice
527,activities,I run in the park three times a week
528,activities,I swim at the community pool
529,activities,I exercise to stay healthy and fit
530,activities,I try to relax on Sunday afternoons
531,daily_life,In the morning, I always feel tired
532,daily_life,In the evening, I like to watch TV
533,daily_life,At night, the city becomes very quiet
534,daily_life,During the day, I'm usually at work
535,daily_life,On weekdays, I have a very busy schedule
536,daily_life,On weekends, I like to sleep in late
537,daily_life,When I'm at home, I feel most comfortable
538,daily_life,At work, I have to focus on my tasks
539,daily_life,At school, we have to follow the rules
540,daily_life,I have a regular daily routine
541,places,I love spending time at home
542,places,The office is downtown near the station
543,places,The school is just around the corner
544,places,The hospital is on the other side of town
545,places,I need to go to the bank this afternoon
546,places,The post office closes at five o'clock
547,places,There's a great restaurant near my house
548,places,The grocery store is having a big sale
549,places,The supermarket is always crowded on weekends
550,places,Let's meet at the park after lunch
551,places,The library has an excellent collection of books
552,places,The train station is being renovated
553,places,We arrived at the airport two hours early
554,places,The hotel room was very comfortable
555,places,I booked a room at the hotel downtown
556,communication,Please tell me what happened yesterday
557,communication,Can you show me how to do this?
558,communication,Give me your honest opinion about this
559,communication,Send me the documents when you're ready
560,communication,Call me as soon as you get home
561,communication,Write to me when you have time
562,communication,I need to talk to you about something important
563,communication,Please listen to what I have to say
564,communication,Let me know when you're ready to leave
565,learning,I'm learning how to speak Spanish
566,learning,I'm teaching my daughter to ride a bike
567,learning,I'm practicing my guitar every day
568,learning,I'm studying for my final exams
569,learning,I understand the basic concepts now
570,learning,I don't understand what this word means
571,learning,How do you say "hello" in French?
572,learning,What does this symbol mean?
573,learning,Can you teach me how to cook this dish?
574,learning,I'm trying to improve my English skills
575,problems,We have a serious problem to solve
576,problems,Something's not right with this machine
577,problems,The computer doesn't work properly anymore
578,problems,The washing machine is broken again
579,problems,I made a terrible mistake at work
580,problems,I lost my wallet somewhere downtown
581,problems,I can't find my keys anywhere
582,problems,I've looked everywhere for my phone
583,solutions,I finally fixed the broken door
584,solutions,I found my glasses in the car
585,solutions,The computer works perfectly now
586,solutions,We managed to solve the problem
587,solutions,Don't worry, everything will be fine
588,solutions,It's okay, these things happen
589,solutions,We'll figure out a solution together
590,preferences,I prefer coffee to tea in the morning
591,preferences,I like summer better than winter
592,preferences,I'd rather walk than take the bus
593,preferences,My favorite color is blue
594,preferences,My favorite food is pizza
595,preferences,I prefer working alone to working in groups
596,asking_opinions,What do you think about this idea?
597,asking_opinions,Do you agree with what I'm saying?
598,asking_opinions,Do you like the new design?
599,asking_opinions,What's your opinion on this matter?
600,asking_opinions,How do you feel about moving to a new city?
601,asking_opinions,Which option do you think is better?
602,plans,I'm planning to visit my family next month
603,plans,I'm going to start looking for a new job
604,plans,I intend to finish this project by Friday
605,plans,I want to learn how to play the piano
606,plans,I hope to travel to Italy someday
607,plans,I'd like to buy a new car this year
608,plans,We're thinking about moving to the countryside
609,past_habits,I used to live in Boston when I was younger
610,past_habits,I would always visit my grandparents on Sundays
611,past_habits,I never used to like vegetables as a child
612,past_habits,When I was young, I played soccer every day
613,changes,Everything has changed since I left
614,changes,The city is very different now than before
615,changes,Nothing has changed since you were here last
616,changes,Things have really changed around here
617,changes,The situation is not the same anymore
618,experiences,I've been to over twenty different countries
619,experiences,I've seen the Northern Lights in person
620,experiences,I've tried many different types of cuisine
621,experiences,I've never been skiing before in my life
622,experiences,Have you ever been to New York City?
623,experiences,Have you ever tried sushi before?
624,cause,I'm late because I missed my bus
625,cause,I couldn't come since I was feeling sick
626,cause,Due to the bad weather, the flight was canceled
627,cause,That's why I didn't call you yesterday
628,cause,The reason I'm here is to help you
629,result,I studied hard, so I passed the exam
630,result,The store was closed, therefore we went home
631,result,As a result of the rain, the game was postponed
632,result,Consequently, we had to change our plans
633,result,It was raining, so we stayed inside
634,purpose,I'm calling in order to confirm my appointment
635,purpose,I came here to talk to you about something
636,purpose,I'm saving money so that I can buy a house
637,purpose,This tool is used for cutting wood
638,purpose,I exercise regularly to stay healthy
639,contrast,I wanted to go, but I had to work
640,contrast,However, I don't think that's the best idea
641,contrast,Although it was raining, we went for a walk
642,contrast,Even though I was tired, I stayed up late
643,contrast,On the other hand, we could just stay home
644,contrast,While I agree with you, I have some concerns
645,addition,I speak English and I also speak French
646,addition,I'm tired and hungry too
647,addition,I like pizza as well as pasta
648,addition,In addition to working full time, I study at night
649,addition,Furthermore, I believe this is the right decision
650,addition,Moreover, we don't have enough money for this
651,addition,I enjoy reading and writing as well
652,sequence,First, you need to turn on the computer
653,sequence,Then, you should open the application
654,sequence,Next, click on the file menu
655,sequence,After that, select the option you want
656,sequence,Finally, save your work before closing
657,sequence,Last, make sure to back up your files
658,sequence,Before you leave, please lock the door
659,sequence,After we eat, we can watch a movie
660,sequence,First of all, let me explain the situation
661,example,For example, you could try it this way
662,example,I enjoy outdoor activities such as hiking and camping
663,example,I like many fruits like apples, oranges, and bananas
664,example,For instance, we could meet at the coffee shop
665,example,There are many options, for example, we could go to the park
666,emphasis,This is very important information to remember
667,emphasis,I really don't want to go there
668,emphasis,I'm especially interested in learning about history
669,emphasis,This is particularly difficult to understand
670,emphasis,In fact, I've never seen anything like this
671,emphasis,Actually, I think you're completely wrong about that
672,emphasis,What I really want is some peace and quiet
673,clarification,I mean, what I'm trying to say is
674,clarification,In other words, we need to start over
675,clarification,That is to say, we have no choice
676,clarification,Specifically, I'm talking about the blue one
677,clarification,Let me rephrase that for clarity
678,summarizing,In conclusion, I think we should proceed
679,summarizing,To sum up what we've discussed today
680,summarizing,Overall, this has been a successful project
681,summarizing,In short, we need more time
682,summarizing,Basically, what you're saying is correct
683,summarizing,The main point is that we need to act now
684,surprise,Wow, I can't believe you did that!
685,surprise,Really? I had no idea that was true!
686,surprise,I can't believe how beautiful this place is
687,surprise,That's absolutely amazing and unexpected
688,surprise,That's the most incredible thing I've ever seen
689,surprise,I'm very surprised you came all this way
690,surprise,What a surprise to see you here!
691,disappointment,That's really too bad about what happened
692,disappointment,What a shame that you can't come
693,disappointment,I'm so disappointed in the results
694,disappointment,Unfortunately, we didn't get the contract
695,disappointment,I was hoping for a better outcome
696,relief,What a relief that everything worked out
697,relief,Thank goodness you're safe and sound
698,relief,I'm so glad that's finally over with
699,relief,That's good to hear that you're feeling better
700,relief,I'm relieved the test results were negative
701,encouragement,Keep going, you're doing great!
702,encouragement,Don't give up now, you're almost there!
703,encouragement,You can do this, I believe in you!
704,encouragement,Keep trying your best and you'll succeed
705,encouragement,You're almost there, just a little more!
706,encouragement,I know you can accomplish anything you set your mind to
707,reassurance,Don't worry about it, everything will work out
708,reassurance,It'll be okay, I promise you
709,reassurance,Everything will be fine in the end
710,reassurance,Just calm down and take a deep breath
711,reassurance,Take it easy and don't stress yourself out
712,reassurance,There's nothing to worry about right now
713,sympathy,I'm so sorry to hear about your loss
714,sympathy,That must be really hard for you
715,sympathy,I understand exactly how you feel about this
716,sympathy,That sounds like a very tough situation
717,sympathy,You have my deepest sympathy and condolences
718,interest,Please tell me more about what happened
719,interest,That's a really interesting story you're telling
720,interest,I'd like to know more about your experience
721,interest,I'm very curious about how you did that
722,interest,That sounds fascinating, go on please
723,disinterest,I really don't care about that topic
724,disinterest,It doesn't matter to me either way
725,disinterest,Whatever you want to do is fine
726,disinterest,I'm not particularly interested in sports
727,disinterest,To be honest, I find this quite boring
728,asking_permission,May I please use your bathroom?
729,asking_permission,Can I borrow your car for the day?
730,asking_permission,Is it okay if I leave work early today?
731,asking_permission,Do you mind if I turn on the air conditioning?
732,asking_permission,Would it be alright if I brought a friend?
733,giving_permission,Go ahead and help yourself to anything
734,giving_permission,Sure, you can use it anytime you want
735,giving_permission,Of course you can, that's no problem
736,giving_permission,Feel free to take whatever you need
737,refusing_permission,I'm afraid I can't let you do that
738,refusing_permission,Sorry, but I really need to say no
739,refusing_permission,I'd rather you didn't touch that
740,refusing_permission,I'm not comfortable with that idea
741,offering_help,Do you need any help with that?
742,offering_help,Can I help you with anything at all?
743,offering_help,Let me help you carry those heavy bags
744,offering_help,What can I do to make this easier for you?
745,offering_help,Would you like me to give you a hand?
746,accepting_help,Yes please, I would really appreciate that
747,accepting_help,That would be wonderful, thank you so much
748,accepting_help,Thank you, I could really use some help
749,accepting_help,I really appreciate your offer to help
750,refusing_help,No thank you, I don't need any help
751,refusing_help,I'm okay, but thanks for offering
752,refusing_help,I can manage this on my own
753,refusing_help,I've got it under control, thanks anyway
754,making_requests,Could you please pass me that book?
755,making_requests,Would you mind turning down the volume?
756,making_requests,Can you help me move this table?
757,making_requests,Please remember to lock the door when you leave
758,making_requests,I would appreciate it if you could call me later
759,accepting_requests,Sure, I'd be happy to do that
760,accepting_requests,No problem at all, I'll take care of it
761,accepting_requests,I'll do it right away for you
762,accepting_requests,Consider it done, don't worry about it
763,refusing_requests,I'm sorry, but I can't do that right now
764,refusing_requests,I'm afraid I'm unable to help with that
765,refusing_requests,I can't do it at this moment
766,refusing_requests,Maybe later, but not right now
767,agreeing,I completely agree with everything you said
768,agreeing,You're absolutely right about that point
769,agreeing,Exactly what I was thinking too
770,agreeing,I think so too, you've made a good point
771,agreeing,That's completely true and I support it
772,disagreeing,I'm afraid I don't agree with you
773,disagreeing,I don't think that's quite right
774,disagreeing,I have to disagree with you on this
775,disagreeing,That's not true from my perspective
776,interrupting,Excuse me, but can I say something?
777,interrupting,Sorry to interrupt, but I have a question
778,interrupting,Can I just say something quickly?
779,interrupting,Just a moment, I need to add something
780,continuing,As I was saying before we were interrupted
781,continuing,Anyway, getting back to what I was saying
782,continuing,So, as I mentioned earlier this morning
783,continuing,Let me continue with what I was explaining
784,hesitating,Well, I'm not entirely sure about that
785,hesitating,Um, let me think about this for a moment
786,hesitating,I need to think carefully about this decision
787,hesitating,I'm not completely sure how to answer
788,hesitating,Let me see if I can remember
789,deciding,I've decided to accept the job offer
790,deciding,I'll choose the red one over the blue
791,deciding,I think I'll take this one instead
792,deciding,I'll go with your suggestion this time
793,comparing,Compared to last year, this year was better
794,comparing,Unlike my brother, I enjoy cooking very much
795,comparing,In comparison to other cities, this one is quiet
796,comparing,This restaurant is good, whereas that one is terrible
797,expressing_surprise,No way! That can't possibly be true!
798,expressing_surprise,You're kidding me, right? That's unbelievable!
799,expressing_surprise,Are you being serious right now?
800,expressing_surprise,I had absolutely no idea about that
801,expressing_doubt,I'm not entirely sure that's correct
802,expressing_doubt,I seriously doubt that will actually happen
803,expressing_doubt,I don't believe what you're telling me
804,expressing_doubt,Are you absolutely sure about that?
805,expressing_certainty,I'm one hundred percent positive about this
806,expressing_certainty,I'm completely certain that's the right answer
807,expressing_certainty,Without a doubt, this is the best choice
808,expressing_certainty,For sure, that's exactly what happened
809,remembering,I clearly remember what you told me
